"name","version","authors","licenses","license_links","approved","summary","description","homepage","install_path","package_manager","groups"
kind-of,3.2.2,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/jonschlinkert/kind-of,,Yarn,""
kind-of,4.0.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/jonschlinkert/kind-of,,Yarn,""
klaw,1.3.1,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/jprichardson/node-klaw#readme,,Yarn,""
lazy-cache,1.0.4,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/jonschlinkert/lazy-cache,,Yarn,""
lcid,1.0.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",sindresorhus.com,,Yarn,""
levn,0.3.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/gkz/levn,,Yarn,""
load-json-file,2.0.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",sindresorhus.com,,Yarn,""
loader-fs-cache,1.0.1,"",ISC,http://en.wikipedia.org/wiki/ISC_license,Not approved,"","",Unknown,,Yarn,""
loader-runner,2.3.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/webpack/loader-runner#readme,,Yarn,""
loader-utils,0.2.17,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",Unknown,,Yarn,""
loader-utils,1.1.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",Unknown,,Yarn,""
