"name","version","authors","licenses","license_links","approved","summary","description","homepage","install_path","package_manager","groups"
is-number,3.0.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/jonschlinkert/is-number,,Yarn,""
is-path-cwd,1.0.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",http://sindresorhus.com,,Yarn,""
is-path-in-cwd,1.0.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",http://sindresorhus.com,,Yarn,""
is-path-inside,1.0.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",http://sindresorhus.com,,Yarn,""
is-plain-obj,1.1.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",sindresorhus.com,,Yarn,""
is-posix-bracket,0.1.1,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/jonschlinkert/is-posix-bracket,,Yarn,""
is-primitive,2.0.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/jonschlinkert/is-primitive,,Yarn,""
is-promise,2.1.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",Unknown,,Yarn,""
is-resolvable,1.0.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/shinnn,,Yarn,""
is-stream,1.1.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",sindresorhus.com,,Yarn,""
is-svg,2.1.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",sindresorhus.com,,Yarn,""
is-typedarray,1.0.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/hughsk/is-typedarray,,Yarn,""
isarray,0.0.1,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/juliangruber/isarray,,Yarn,""
isarray,1.0.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/juliangruber/isarray,,Yarn,""
isexe,2.0.0,"",ISC,http://en.wikipedia.org/wiki/ISC_license,Not approved,"","",https://github.com/isaacs/isexe#readme,,Yarn,""
isnumeric,0.2.0,"",UNKNOWN,"",Not approved,"","",http://ilee.co.uk/,,Yarn,""
isobject,2.1.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/jonschlinkert/isobject,,Yarn,""
isstream,0.1.2,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/rvagg/isstream,,Yarn,""
js-base64,2.3.2,"",New BSD,http://opensource.org/licenses/BSD-3-Clause,Not approved,"","",Unknown,,Yarn,""
js-tokens,3.0.2,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",Unknown,,Yarn,""
js-yaml,3.10.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/nodeca/js-yaml,,Yarn,""
js-yaml,3.7.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/nodeca/js-yaml,,Yarn,""
jsbn,0.1.1,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",Unknown,,Yarn,""
jschardet,1.5.1,"",LGPL-2.1+,"",Not approved,"","",Unknown,,Yarn,""
jsesc,0.5.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",http://mths.be/jsesc,,Yarn,""
jsesc,1.3.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://mths.be/jsesc,,Yarn,""
json-loader,0.5.7,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",Unknown,,Yarn,""
json-schema,0.2.3,"",BSD*,"",Not approved,"","",Unknown,,Yarn,""
json-schema-traverse,0.3.1,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/epoberezkin/json-schema-traverse#readme,,Yarn,""
json-stable-stringify,1.0.1,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/substack/json-stable-stringify,,Yarn,""
json-stringify-safe,5.0.1,"",ISC,http://en.wikipedia.org/wiki/ISC_license,Not approved,"","",https://github.com/isaacs/json-stringify-safe,,Yarn,""
json5,0.5.1,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",http://json5.org/,,Yarn,""
jsonfile,2.4.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",Unknown,,Yarn,""
jsonfile,4.0.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",Unknown,,Yarn,""
jsonify,0.0.0,"",Public Domain,"",Not approved,"","",http://crockford.com/,,Yarn,""
jsprim,1.4.1,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",Unknown,,Yarn,""
kew,0.7.0,"",Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Not approved,"","",https://github.com/Medium/kew,,Yarn,""
